Time,RRC Connection Request Count (RCRC),Cumulative RCRC
2025-05-06 15:08:08.464000,0,2
2025-05-06 15:08:08.465000,0,2
2025-05-06 15:08:08.466000,0,2
2025-05-06 15:08:08.467000,0,2
2025-05-06 15:08:08.468000,0,2
2025-05-06 15:08:08.469000,0,2
2025-05-06 15:08:08.470000,0,2
2025-05-06 15:08:08.471000,0,2
2025-05-06 15:08:08.472000,0,2
2025-05-06 15:08:08.473000,0,2
2025-05-06 15:08:08.474000,0,2
2025-05-06 15:08:08.475000,0,2
2025-05-06 15:08:08.476000,0,2
2025-05-06 15:08:08.477000,0,2
2025-05-06 15:08:08.478000,0,2
2025-05-06 15:08:08.479000,0,2
2025-05-06 15:08:08.480000,0,2
2025-05-06 15:08:08.481000,0,2
2025-05-06 15:08:08.482000,0,2
2025-05-06 15:08:08.483000,0,2
2025-05-06 15:08:08.484000,0,2
2025-05-06 15:08:08.485000,0,2
2025-05-06 15:08:08.486000,0,2
2025-05-06 15:08:08.487000,0,2
2025-05-06 15:08:08.488000,0,2
2025-05-06 15:08:08.489000,0,2
2025-05-06 15:08:08.490000,0,2
2025-05-06 15:08:08.491000,0,2
2025-05-06 15:08:08.492000,0,2
2025-05-06 15:08:08.493000,0,2
2025-05-06 15:08:08.494000,0,2
2025-05-06 15:08:08.495000,0,2
2025-05-06 15:08:08.496000,0,2
2025-05-06 15:08:08.497000,0,2
2025-05-06 15:08:08.498000,0,2
2025-05-06 15:08:08.499000,0,2
2025-05-06 15:08:08.500000,0,2
2025-05-06 15:08:08.501000,0,2
2025-05-06 15:08:08.502000,0,2
2025-05-06 15:08:08.503000,0,2
2025-05-06 15:08:08.504000,0,2
2025-05-06 15:08:08.505000,0,2
2025-05-06 15:08:08.506000,0,2
2025-05-06 15:08:08.507000,0,2
2025-05-06 15:08:08.508000,0,2
2025-05-06 15:08:08.509000,0,2
2025-05-06 15:08:08.510000,0,2
2025-05-06 15:08:08.511000,0,2
2025-05-06 15:08:08.512000,0,2
2025-05-06 15:08:08.513000,0,2
2025-05-06 15:08:08.514000,0,2
2025-05-06 15:08:08.515000,0,2
2025-05-06 15:08:08.516000,0,2
2025-05-06 15:08:08.517000,0,2
2025-05-06 15:08:08.518000,0,2
2025-05-06 15:08:08.519000,0,2
2025-05-06 15:08:08.520000,0,2
2025-05-06 15:08:08.521000,0,2
2025-05-06 15:08:08.522000,0,2
2025-05-06 15:08:08.523000,0,2
2025-05-06 15:08:08.524000,0,2
2025-05-06 15:08:08.525000,0,2
2025-05-06 15:08:08.526000,0,2
2025-05-06 15:08:08.527000,0,2
2025-05-06 15:08:08.528000,0,2
2025-05-06 15:08:08.529000,0,2
2025-05-06 15:08:08.530000,0,2
2025-05-06 15:08:08.531000,0,2
2025-05-06 15:08:08.532000,0,2
2025-05-06 15:08:08.533000,0,2
2025-05-06 15:08:08.534000,0,2
2025-05-06 15:08:08.535000,0,2
2025-05-06 15:08:08.536000,0,2
2025-05-06 15:08:08.537000,0,2
2025-05-06 15:08:08.538000,0,2
2025-05-06 15:08:08.539000,0,2
2025-05-06 15:08:08.540000,0,2
2025-05-06 15:08:08.541000,0,2
2025-05-06 15:08:08.542000,0,2
2025-05-06 15:08:08.543000,0,2
2025-05-06 15:08:08.544000,0,2
2025-05-06 15:08:08.545000,0,2
2025-05-06 15:08:08.546000,0,2
2025-05-06 15:08:08.547000,0,2
2025-05-06 15:08:08.548000,0,2
2025-05-06 15:08:08.549000,0,2
2025-05-06 15:08:08.550000,0,2
2025-05-06 15:08:08.551000,0,2
2025-05-06 15:08:08.552000,0,2
2025-05-06 15:08:08.553000,0,2
2025-05-06 15:08:08.554000,0,2
2025-05-06 15:08:08.555000,0,2
2025-05-06 15:08:08.556000,0,2
2025-05-06 15:08:08.557000,0,2
2025-05-06 15:08:08.558000,0,2
2025-05-06 15:08:08.559000,0,2
2025-05-06 15:08:08.560000,0,2
2025-05-06 15:08:08.561000,0,2
2025-05-06 15:08:08.562000,0,2
2025-05-06 15:08:08.563000,0,2
