Time,RRC Connection Request Count (RCRC),Cumulative RCRC
2025-05-07 17:38:12.368000,0,341
2025-05-07 17:38:12.369000,0,341
2025-05-07 17:38:12.370000,0,341
2025-05-07 17:38:12.371000,0,341
2025-05-07 17:38:12.372000,0,341
2025-05-07 17:38:12.373000,0,341
2025-05-07 17:38:12.374000,0,341
2025-05-07 17:38:12.375000,0,341
2025-05-07 17:38:12.376000,0,341
2025-05-07 17:38:12.377000,0,341
2025-05-07 17:38:12.378000,0,341
2025-05-07 17:38:12.379000,0,341
2025-05-07 17:38:12.380000,0,341
2025-05-07 17:38:12.381000,0,341
2025-05-07 17:38:12.382000,0,341
2025-05-07 17:38:12.383000,0,341
2025-05-07 17:38:12.384000,0,341
2025-05-07 17:38:12.385000,0,341
2025-05-07 17:38:12.386000,0,341
2025-05-07 17:38:12.387000,0,341
2025-05-07 17:38:12.388000,0,341
2025-05-07 17:38:12.389000,20,361
2025-05-07 17:38:12.390000,55,416
2025-05-07 17:38:12.391000,40,456
2025-05-07 17:38:12.392000,27,483
2025-05-07 17:38:12.393000,66,549
2025-05-07 17:38:12.394000,39,588
2025-05-07 17:38:12.395000,21,609
2025-05-07 17:38:12.396000,14,623
2025-05-07 17:38:12.397000,8,631
2025-05-07 17:38:12.398000,21,652
2025-05-07 17:38:12.399000,9,661
2025-05-07 17:38:12.400000,14,675
2025-05-07 17:38:12.401000,17,692
2025-05-07 17:38:12.402000,19,711
2025-05-07 17:38:12.403000,15,726
2025-05-07 17:38:12.404000,18,744
2025-05-07 17:38:12.405000,33,777
2025-05-07 17:38:12.406000,29,806
2025-05-07 17:38:12.407000,25,831
2025-05-07 17:38:12.408000,31,862
2025-05-07 17:38:12.409000,30,892
2025-05-07 17:38:12.410000,31,923
2025-05-07 17:38:12.411000,22,945
2025-05-07 17:38:12.412000,11,956
2025-05-07 17:38:12.413000,5,961
2025-05-07 17:38:12.414000,3,964
2025-05-07 17:38:12.415000,0,964
2025-05-07 17:38:12.416000,2,966
2025-05-07 17:38:12.417000,17,983
2025-05-07 17:38:12.418000,19,1002
2025-05-07 17:38:12.419000,8,1010
2025-05-07 17:38:12.420000,9,1019
