Time,RRC Connection Request Count (RCRC),Cumulative RCRC
2025-05-06 17:04:38.498000,0,118
2025-05-06 17:04:38.499000,0,118
2025-05-06 17:04:38.500000,0,118
2025-05-06 17:04:38.501000,0,118
2025-05-06 17:04:38.502000,0,118
2025-05-06 17:04:38.503000,0,118
2025-05-06 17:04:38.504000,0,118
2025-05-06 17:04:38.505000,0,118
2025-05-06 17:04:38.506000,0,118
2025-05-06 17:04:38.507000,0,118
2025-05-06 17:04:38.508000,0,118
2025-05-06 17:04:38.509000,0,118
2025-05-06 17:04:38.510000,0,118
2025-05-06 17:04:38.511000,0,118
2025-05-06 17:04:38.512000,0,118
2025-05-06 17:04:38.513000,0,118
2025-05-06 17:04:38.514000,0,118
2025-05-06 17:04:38.515000,0,118
2025-05-06 17:04:38.516000,0,118
2025-05-06 17:04:38.517000,0,118
2025-05-06 17:04:38.518000,0,118
2025-05-06 17:04:38.519000,0,118
2025-05-06 17:04:38.520000,0,118
2025-05-06 17:04:38.521000,0,118
2025-05-06 17:04:38.522000,0,118
2025-05-06 17:04:38.523000,0,118
2025-05-06 17:04:38.524000,0,118
2025-05-06 17:04:38.525000,0,118
2025-05-06 17:04:38.526000,0,118
2025-05-06 17:04:38.527000,0,118
2025-05-06 17:04:38.528000,0,118
2025-05-06 17:04:38.529000,0,118
2025-05-06 17:04:38.530000,0,118
2025-05-06 17:04:38.531000,0,118
2025-05-06 17:04:38.532000,0,118
2025-05-06 17:04:38.533000,0,118
2025-05-06 17:04:38.534000,0,118
2025-05-06 17:04:38.535000,0,118
2025-05-06 17:04:38.536000,0,118
2025-05-06 17:04:38.537000,0,118
2025-05-06 17:04:38.538000,0,118
2025-05-06 17:04:38.539000,0,118
2025-05-06 17:04:38.540000,0,118
2025-05-06 17:04:38.541000,0,118
2025-05-06 17:04:38.542000,0,118
2025-05-06 17:04:38.543000,0,118
2025-05-06 17:04:38.544000,0,118
2025-05-06 17:04:38.545000,0,118
2025-05-06 17:04:38.546000,0,118
2025-05-06 17:04:38.547000,0,118
2025-05-06 17:04:38.548000,0,118
2025-05-06 17:04:38.549000,0,118
2025-05-06 17:04:38.550000,0,118
2025-05-06 17:04:38.551000,0,118
2025-05-06 17:04:38.552000,0,118
2025-05-06 17:04:38.553000,0,118
2025-05-06 17:04:38.554000,0,118
2025-05-06 17:04:38.555000,0,118
2025-05-06 17:04:38.556000,0,118
2025-05-06 17:04:38.557000,0,118
2025-05-06 17:04:38.558000,0,118
2025-05-06 17:04:38.559000,0,118
2025-05-06 17:04:38.560000,0,118
2025-05-06 17:04:38.561000,0,118
2025-05-06 17:04:38.562000,0,118
2025-05-06 17:04:38.563000,0,118
2025-05-06 17:04:38.564000,0,118
2025-05-06 17:04:38.565000,0,118
2025-05-06 17:04:38.566000,0,118
2025-05-06 17:04:38.567000,0,118
2025-05-06 17:04:38.568000,0,118
2025-05-06 17:04:38.569000,0,118
2025-05-06 17:04:38.570000,0,118
2025-05-06 17:04:38.571000,0,118
2025-05-06 17:04:38.572000,0,118
2025-05-06 17:04:38.573000,0,118
2025-05-06 17:04:38.574000,0,118
2025-05-06 17:04:38.575000,0,118
2025-05-06 17:04:38.576000,0,118
2025-05-06 17:04:38.577000,0,118
2025-05-06 17:04:38.578000,0,118
2025-05-06 17:04:38.579000,0,118
2025-05-06 17:04:38.580000,0,118
2025-05-06 17:04:38.581000,0,118
2025-05-06 17:04:38.582000,0,118
2025-05-06 17:04:38.583000,0,118
2025-05-06 17:04:38.584000,0,118
2025-05-06 17:04:38.585000,0,118
2025-05-06 17:04:38.586000,0,118
2025-05-06 17:04:38.587000,0,118
2025-05-06 17:04:38.588000,0,118
2025-05-06 17:04:38.589000,0,118
2025-05-06 17:04:38.590000,0,118
2025-05-06 17:04:38.591000,0,118
2025-05-06 17:04:38.592000,0,118
2025-05-06 17:04:38.593000,0,118
2025-05-06 17:04:38.594000,0,118
2025-05-06 17:04:38.595000,0,118
2025-05-06 17:04:38.596000,0,118
2025-05-06 17:04:38.597000,0,118
