Time,RRC Connection Request Count (RCRC),Cumulative RCRC
2025-05-06 16:32:03.460000,0,9
2025-05-06 16:32:03.461000,0,9
2025-05-06 16:32:03.462000,0,9
2025-05-06 16:32:03.463000,0,9
2025-05-06 16:32:03.464000,0,9
2025-05-06 16:32:03.465000,0,9
2025-05-06 16:32:03.466000,0,9
2025-05-06 16:32:03.467000,0,9
2025-05-06 16:32:03.468000,0,9
2025-05-06 16:32:03.469000,0,9
2025-05-06 16:32:03.470000,0,9
2025-05-06 16:32:03.471000,0,9
2025-05-06 16:32:03.472000,0,9
2025-05-06 16:32:03.473000,0,9
2025-05-06 16:32:03.474000,0,9
2025-05-06 16:32:03.475000,0,9
2025-05-06 16:32:03.476000,0,9
2025-05-06 16:32:03.477000,0,9
2025-05-06 16:32:03.478000,0,9
2025-05-06 16:32:03.479000,0,9
2025-05-06 16:32:03.480000,0,9
2025-05-06 16:32:03.481000,0,9
2025-05-06 16:32:03.482000,0,9
2025-05-06 16:32:03.483000,0,9
2025-05-06 16:32:03.484000,0,9
2025-05-06 16:32:03.485000,0,9
2025-05-06 16:32:03.486000,0,9
2025-05-06 16:32:03.487000,0,9
2025-05-06 16:32:03.488000,0,9
2025-05-06 16:32:03.489000,0,9
2025-05-06 16:32:03.490000,0,9
2025-05-06 16:32:03.491000,0,9
2025-05-06 16:32:03.492000,0,9
2025-05-06 16:32:03.493000,0,9
2025-05-06 16:32:03.494000,0,9
2025-05-06 16:32:03.495000,0,9
2025-05-06 16:32:03.496000,0,9
2025-05-06 16:32:03.497000,0,9
2025-05-06 16:32:03.498000,0,9
2025-05-06 16:32:03.499000,0,9
2025-05-06 16:32:03.500000,0,9
2025-05-06 16:32:03.501000,0,9
2025-05-06 16:32:03.502000,0,9
2025-05-06 16:32:03.503000,0,9
2025-05-06 16:32:03.504000,0,9
2025-05-06 16:32:03.505000,0,9
2025-05-06 16:32:03.506000,0,9
2025-05-06 16:32:03.507000,0,9
2025-05-06 16:32:03.508000,0,9
2025-05-06 16:32:03.509000,0,9
2025-05-06 16:32:03.510000,0,9
2025-05-06 16:32:03.511000,0,9
2025-05-06 16:32:03.512000,0,9
2025-05-06 16:32:03.513000,0,9
2025-05-06 16:32:03.514000,0,9
2025-05-06 16:32:03.515000,0,9
2025-05-06 16:32:03.516000,0,9
2025-05-06 16:32:03.517000,0,9
2025-05-06 16:32:03.518000,0,9
2025-05-06 16:32:03.519000,0,9
2025-05-06 16:32:03.520000,0,9
2025-05-06 16:32:03.521000,0,9
2025-05-06 16:32:03.522000,0,9
2025-05-06 16:32:03.523000,0,9
2025-05-06 16:32:03.524000,0,9
2025-05-06 16:32:03.525000,0,9
2025-05-06 16:32:03.526000,0,9
2025-05-06 16:32:03.527000,0,9
2025-05-06 16:32:03.528000,0,9
2025-05-06 16:32:03.529000,0,9
2025-05-06 16:32:03.530000,0,9
2025-05-06 16:32:03.531000,0,9
2025-05-06 16:32:03.532000,0,9
2025-05-06 16:32:03.533000,0,9
2025-05-06 16:32:03.534000,0,9
2025-05-06 16:32:03.535000,0,9
2025-05-06 16:32:03.536000,0,9
2025-05-06 16:32:03.537000,0,9
2025-05-06 16:32:03.538000,0,9
2025-05-06 16:32:03.539000,0,9
2025-05-06 16:32:03.540000,0,9
2025-05-06 16:32:03.541000,0,9
2025-05-06 16:32:03.542000,0,9
2025-05-06 16:32:03.543000,0,9
2025-05-06 16:32:03.544000,0,9
2025-05-06 16:32:03.545000,0,9
2025-05-06 16:32:03.546000,0,9
2025-05-06 16:32:03.547000,0,9
2025-05-06 16:32:03.548000,0,9
2025-05-06 16:32:03.549000,0,9
2025-05-06 16:32:03.550000,0,9
2025-05-06 16:32:03.551000,0,9
2025-05-06 16:32:03.552000,0,9
2025-05-06 16:32:03.553000,0,9
2025-05-06 16:32:03.554000,0,9
2025-05-06 16:32:03.555000,0,9
2025-05-06 16:32:03.556000,0,9
2025-05-06 16:32:03.557000,0,9
2025-05-06 16:32:03.558000,0,9
2025-05-06 16:32:03.559000,0,9
