Time,RRC Connection Request Count (RCRC),Cumulative RCRC
2025-05-06 17:01:08.595000,0,1
2025-05-06 17:01:08.596000,0,1
2025-05-06 17:01:08.597000,0,1
2025-05-06 17:01:08.598000,0,1
2025-05-06 17:01:08.599000,0,1
2025-05-06 17:01:08.600000,0,1
2025-05-06 17:01:08.601000,0,1
2025-05-06 17:01:08.602000,0,1
2025-05-06 17:01:08.603000,0,1
2025-05-06 17:01:08.604000,0,1
2025-05-06 17:01:08.605000,0,1
2025-05-06 17:01:08.606000,0,1
2025-05-06 17:01:08.607000,0,1
2025-05-06 17:01:08.608000,0,1
2025-05-06 17:01:08.609000,0,1
2025-05-06 17:01:08.610000,0,1
2025-05-06 17:01:08.611000,0,1
2025-05-06 17:01:08.612000,0,1
2025-05-06 17:01:08.613000,0,1
2025-05-06 17:01:08.614000,0,1
2025-05-06 17:01:08.615000,0,1
2025-05-06 17:01:08.616000,0,1
2025-05-06 17:01:08.617000,0,1
2025-05-06 17:01:08.618000,0,1
2025-05-06 17:01:08.619000,0,1
2025-05-06 17:01:08.620000,0,1
2025-05-06 17:01:08.621000,0,1
2025-05-06 17:01:08.622000,0,1
2025-05-06 17:01:08.623000,0,1
2025-05-06 17:01:08.624000,0,1
2025-05-06 17:01:08.625000,0,1
2025-05-06 17:01:08.626000,0,1
2025-05-06 17:01:08.627000,0,1
2025-05-06 17:01:08.628000,0,1
2025-05-06 17:01:08.629000,0,1
2025-05-06 17:01:08.630000,0,1
2025-05-06 17:01:08.631000,0,1
2025-05-06 17:01:08.632000,0,1
2025-05-06 17:01:08.633000,0,1
2025-05-06 17:01:08.634000,0,1
2025-05-06 17:01:08.635000,0,1
2025-05-06 17:01:08.636000,0,1
2025-05-06 17:01:08.637000,0,1
2025-05-06 17:01:08.638000,0,1
2025-05-06 17:01:08.639000,0,1
2025-05-06 17:01:08.640000,0,1
2025-05-06 17:01:08.641000,0,1
2025-05-06 17:01:08.642000,0,1
2025-05-06 17:01:08.643000,0,1
2025-05-06 17:01:08.644000,0,1
2025-05-06 17:01:08.645000,0,1
2025-05-06 17:01:08.646000,0,1
2025-05-06 17:01:08.647000,0,1
2025-05-06 17:01:08.648000,0,1
2025-05-06 17:01:08.649000,0,1
2025-05-06 17:01:08.650000,0,1
2025-05-06 17:01:08.651000,0,1
2025-05-06 17:01:08.652000,0,1
2025-05-06 17:01:08.653000,0,1
2025-05-06 17:01:08.654000,0,1
2025-05-06 17:01:08.655000,0,1
2025-05-06 17:01:08.656000,0,1
2025-05-06 17:01:08.657000,0,1
2025-05-06 17:01:08.658000,0,1
2025-05-06 17:01:08.659000,0,1
2025-05-06 17:01:08.660000,0,1
2025-05-06 17:01:08.661000,0,1
2025-05-06 17:01:08.662000,0,1
2025-05-06 17:01:08.663000,0,1
2025-05-06 17:01:08.664000,0,1
2025-05-06 17:01:08.665000,0,1
2025-05-06 17:01:08.666000,0,1
2025-05-06 17:01:08.667000,0,1
2025-05-06 17:01:08.668000,0,1
2025-05-06 17:01:08.669000,0,1
2025-05-06 17:01:08.670000,0,1
2025-05-06 17:01:08.671000,0,1
2025-05-06 17:01:08.672000,0,1
2025-05-06 17:01:08.673000,0,1
2025-05-06 17:01:08.674000,0,1
2025-05-06 17:01:08.675000,0,1
2025-05-06 17:01:08.676000,0,1
2025-05-06 17:01:08.677000,0,1
2025-05-06 17:01:08.678000,0,1
2025-05-06 17:01:08.679000,0,1
2025-05-06 17:01:08.680000,0,1
2025-05-06 17:01:08.681000,0,1
2025-05-06 17:01:08.682000,0,1
2025-05-06 17:01:08.683000,0,1
2025-05-06 17:01:08.684000,0,1
2025-05-06 17:01:08.685000,0,1
2025-05-06 17:01:08.686000,0,1
2025-05-06 17:01:08.687000,0,1
2025-05-06 17:01:08.688000,0,1
2025-05-06 17:01:08.689000,0,1
2025-05-06 17:01:08.690000,0,1
2025-05-06 17:01:08.691000,0,1
2025-05-06 17:01:08.692000,0,1
2025-05-06 17:01:08.693000,0,1
2025-05-06 17:01:08.694000,0,1
